continent,location,Cases,T_Deaths,T_Vaccinations,Deaths,Vaccinations,n,Fatality,v
Europe,Vatican,15816,0,0,0,0,1,0,1
Oceania,Marshall Islands,2031,0,0,0,0,1,0,1
Oceania,Micronesia (country),399,0,0,0,0,1,0,1
North America,Saint Pierre and Miquelon,51284,23,0,2.30E-06,0,1,0.044848,1
Oceania,Palau,80860,53,0,5.30E-06,0,1,0.065545,1
Africa,Eritrea,2442828,15119,0,0.0015119,0,1,0.618914,1
South America,Falkland Islands,31416,0,14163,0,0.00014163,1,0,1
Africa,Saint Helena,1962,0,24233,0,0.00024233,1,0,1
North America,Bonaire Sint Eustatius and Saba,891488,6660,43236,0.000666,0.00043236,1,0.747066,1
Africa,Burundi,5441202,9229,82857,0.0009229,0.00082857,1,0.169613,1
North America,Montserrat,20568,687,83449,6.87E-05,0.00083449,2,3.34014,1
Oceania,Cook Islands,362,0,313870,0,0.0031387,1,0,1
Oceania,Wallis and Futuna,155779,2268,326855,0.0002268,0.00326855,2,1.455909,1
North America,Anguilla,251837,652,649208,6.52E-05,0.00649208,1,0.258898,1
Oceania,Kiribati,51783,101,756535,1.01E-05,0.00756535,1,0.195045,1
North America,Turks and Caicos Islands,1274731,9223,811177,0.0009223,0.00811177,1,0.723525,1
Europe,Monaco,1477870,14181,867304,0.0014181,0.00867304,1,0.959557,1
North America,British Virgin Islands,796808,9213,995344,0.0009213,0.00995344,2,1.156238,1
Africa,Djibouti,5892064,72295,1176464,0.0072295,0.01176464,2,1.226989,1
Oceania,Tonga,2652,0,1826899,0,0.01826899,1,0,1
Europe,Andorra,7552401,67964,2001942,0.0067964,0.02001942,1,0.899899,1
Oceania,Vanuatu,1830,309,2026013,3.09E-05,0.02026013,4,16.885246,1
Africa,Sao Tome and Principe,1427556,21174,2291309,0.0021174,0.02291309,2,1.483234,1
North America,Grenada,1274555,30936,2536192,0.0030936,0.02536192,2,2.4272,1
North America,Dominica,1118474,6227,2834979,0.0006227,0.02834979,1,0.556741,1
North America,Saint Kitts and Nevis,619440,4532,2938535,0.0004532,0.02938535,1,0.731629,1
North America,Saint Vincent and the Grenadines,1397139,13695,2980858,0.0013695,0.02980858,1,0.980217,1
Oceania,Solomon Islands,112908,1237,3536055,0.0001237,0.03536055,2,1.095582,1
Europe,San Marino,2694664,49130,3662729,0.004913,0.03662729,2,1.823233,1
North America,Haiti,9723532,248313,3775423,0.0248313,0.03775423,2,2.553733,1
North America,Bermuda,1660056,24715,3882379,0.0024715,0.03882379,2,1.488805,1
Oceania,Samoa,2230,0,4810126,0,0.04810126,1,0,1
Africa,Lesotho,7101029,187557,5258013,0.0187557,0.05258013,2,2.641265,1
Africa,South Sudan,5201671,58866,5354047,0.0058866,0.05354047,2,1.131675,1
Africa,Gambia,3766857,119493,5757966,0.0119493,0.05757966,2,3.17222,1
Africa,Chad,2358596,89403,5919392,0.0089403,0.05919392,2,3.790518,1
North America,Greenland,632979,288,6086336,2.88E-05,0.06086336,1,0.045499,1
Africa,Gabon,13227770,86449,6320121,0.0086449,0.06320121,1,0.653542,1
North America,Antigua and Barbuda,1045269,26305,6465262,0.0026305,0.06465262,2,2.516577,1
Africa,Central African Republic,4682438,49831,6829005,0.0049831,0.06829005,2,1.064211,1
North America,Bahamas,7806700,186292,7201795,0.0186292,0.07201795,2,2.386309,1
Africa,Seychelles,6756087,31521,7725179,0.0031521,0.07725179,1,0.466557,1
Oceania,Papua New Guinea,7958811,105136,7752553,0.0105136,0.07752553,2,1.321001,1
Africa,Liberia,2089065,93132,7851740,0.0093132,0.0785174,2,4.458071,1
Africa,Madagascar,19092257,371893,8335932,0.0371893,0.08335932,2,1.947873,1
North America,Cayman Islands,1377561,2118,8498839,0.0002118,0.08498839,1,0.15375,1
Europe,Faeroe Islands,1565171,2060,8612023,0.000206,0.08612023,1,0.131615,1
Africa,Democratic Republic of Congo,22058169,458229,8887535,0.0458229,0.08887535,2,2.077366,1
Oceania,French Polynesia,14037290,151822,8915915,0.0151822,0.08915915,2,1.081562,1
Africa,Comoros,1910678,60029,8950080,0.0060029,0.0895008,2,3.141764,1
Asia,Yemen,3374408,699525,8954613,0.0699525,0.08954613,4,20.730303,1
Africa,Burkina Faso,6464041,99564,9377185,0.0099564,0.09377185,2,1.540275,1
Africa,Congo,6792631,105501,9466554,0.0105501,0.09466554,2,1.553168,1
Oceania,New Caledonia,2428073,39861,9781918,0.0039861,0.09781918,2,1.641672,1
Africa,Guinea-Bissau,2540214,48557,10430724,0.0048557,0.10430724,2,1.911532,1
Africa,Sierra Leone,2733310,58696,10435692,0.0058696,0.10435692,2,2.147433,1
Africa,Tanzania,4674501,121009,11561245,0.0121009,0.11561245,2,2.588704,1
North America,Saint Lucia,3554286,61433,11938758,0.0061433,0.11938758,2,1.72842,1
Africa,Eswatini,15401221,403923,12400764,0.0403923,0.12400764,2,2.622669,1
Africa,Niger,2820557,105059,13089106,0.0105059,0.13089106,2,3.724761,1
Europe,Bosnia and Herzegovina,99807234,4286604,13550064,0.4286604,0.13550064,2,4.294883,1
Europe,Liechtenstein,1791211,26276,13977786,0.0026276,0.13977786,2,1.466941,1
Africa,Cape Verde,14581372,127634,14222132,0.0127634,0.14222132,1,0.875322,1
Africa,Benin,6498260,57136,15755359,0.0057136,0.15755359,1,0.879251,1
Europe,Gibraltar,2615931,38535,15794574,0.0038535,0.15794574,2,1.473089,1
Africa,Botswana,51105551,629123,18223825,0.0629123,0.18223825,2,1.231027,1
North America,Belize,9393169,182665,19240963,0.0182665,0.19240963,2,1.944658,1
Africa,Cameroon,37259313,622802,19884406,0.0622802,0.19884406,2,1.671534,1
Africa,Mali,7205339,247706,20437970,0.0247706,0.2043797,2,3.437812,1
Africa,Equatorial Guinea,5133516,70511,22103537,0.0070511,0.22103537,2,1.373542,1
Africa,Namibia,41506063,939022,23739987,0.0939022,0.23739987,2,2.262373,1
Africa,Somalia,7647512,382056,23845042,0.0382056,0.23845042,2,4.995821,1
Europe,Isle of Man,2853748,23873,24144600,0.0023873,0.241446,1,0.836549,1
Asia,Syria,13741992,867624,25801200,0.0867624,0.258012,3,6.31367,1
Asia,Timor,4653490,23590,26311625,0.002359,0.26311625,1,0.506931,1
Asia,Armenia,120869816,2423250,28869940,0.242325,0.2886994,2,2.004843,1
North America,Aruba,6610413,58147,34487071,0.0058147,0.34487071,1,0.879627,1
Africa,Togo,8220118,79755,34971004,0.0079755,0.34971004,1,0.970242,1
Oceania,Fiji,11391524,137072,35291037,0.0137072,0.35291037,2,1.203281,1
Africa,Sudan,19068002,1312043,39877801,0.1312043,0.39877801,3,6.880863,1
Africa,Mauritius,8575490,85889,44543020,0.0085889,0.4454302,2,1.001564,1
North America,Curacao,6514642,53474,45517395,0.0053474,0.45517395,1,0.820828,1
Europe,Iceland,7805182,17520,47919768,0.001752,0.47919768,1,0.224466,1
South America,Guyana,11275654,268537,48185150,0.0268537,0.4818515,2,2.381565,1
Africa,Senegal,26476711,644315,55103912,0.0644315,0.55103912,2,2.433516,1
Africa,Mauritania,13942948,299158,56536725,0.0299158,0.56536725,2,2.145586,1
Asia,Brunei,2537900,15570,57728363,0.001557,0.57728363,1,0.613499,1
North America,Barbados,5245939,45167,66333670,0.0045167,0.6633367,1,0.86099,1
South America,Suriname,13647711,288363,66462271,0.0288363,0.66462271,2,2.112904,1
Asia,Bhutan,1003925,877,71134129,8.77E-05,0.71134129,1,0.087357,1
Africa,Ghana,54471592,443077,83218927,0.0443077,0.83218927,1,0.813409,1
Asia,Afghanistan,56851451,2476423,95426881,0.2476423,0.95426881,2,4.355954,1
Asia,Oman,123874900,1473247,111822009,0.1473247,1.11822009,2,1.189302,2
Europe,Montenegro,53600191,763609,118100965,0.0763609,1.18100965,2,1.424639,2
Asia,Macao,39219,0,119152136,0,1.19152136,1,0,2
Europe,North Macedonia,77485340,2586299,120812808,0.2586299,1.20812808,2,3.337791,2
North America,Nicaragua,5646611,109821,121386727,0.0109821,1.21386727,2,1.944901,2
Africa,Libya,117596271,1735702,123084649,0.1735702,1.23084649,2,1.475984,2
Asia,Tajikistan,8528367,61716,141385389,0.0061716,1.41385389,1,0.723656,2
North America,Jamaica,27694943,617772,145423809,0.0617772,1.45423809,2,2.230631,2
Africa,Zambia,71129359,1112743,151811301,0.1112743,1.51811301,2,1.564393,2
Africa,Uganda,39951575,818874,159118993,0.0818874,1.59118993,2,2.049666,2
Europe,Cyprus,45495664,192572,161710572,0.0192572,1.61710572,1,0.423276,2
Europe,Belarus,220240505,1689428,165009474,0.1689428,1.65009474,1,0.767083,2
Asia,Kuwait,166896851,953510,168237199,0.095351,1.68237199,1,0.571317,2
Asia,Maldives,30310049,80806,169677356,0.0080806,1.69677356,1,0.266598,2
Asia,Laos,13738601,42145,178785923,0.0042145,1.78785923,1,0.306763,2
Asia,Palestine,153379027,1602059,182728422,0.1602059,1.82728422,2,1.04451,2
Africa,Rwanda,27781072,341116,185319056,0.0341116,1.85319056,2,1.227872,2
Africa,Algeria,80890956,2295070,211609484,0.229507,2.11609484,2,2.837239,2
North America,Honduras,133937041,3577748,212265802,0.3577748,2.12265802,2,2.671216,2
North America,Costa Rica,187065235,2304419,216487479,0.2304419,2.16487479,2,1.23188,2
Europe,Slovakia,380520182,5079167,219462511,0.5079167,2.19462511,2,1.334796,2
Africa,Guinea,12885273,118657,222952592,0.0118657,2.22952592,1,0.920873,2
Europe,Luxembourg,37198879,378770,225757148,0.037877,2.25757148,2,1.01823,2
Europe,Kosovo,56389872,1120246,252938531,0.1120246,2.52938531,2,1.986609,2
Europe,Malta,15915109,187783,254926016,0.0187783,2.54926016,2,1.179904,2
Africa,Malawi,21591768,722606,256450975,0.0722606,2.56450975,2,3.346674,2
Europe,Moldova,130863704,3104895,257468418,0.3104895,2.57468418,2,2.372617,2
North America,Trinidad and Tobago,18913444,531987,266156892,0.0531987,2.66156892,2,2.812745,2
Europe,Albania,68186517,1139419,276448717,0.1139419,2.76448717,2,1.671033,2
Africa,Cote d'Ivoire,25664628,209222,284821112,0.0209222,2.84821112,1,0.815215,2
Asia,Georgia,243212772,3248322,286683037,0.3248322,2.86683037,2,1.335589,2
Africa,Mozambique,50094598,570509,292604984,0.0570509,2.92604984,2,1.138863,2
Africa,Angola,21277301,506498,304199820,0.0506498,3.0419982,2,2.380462,2
South America,Venezuela,137613668,1541689,309273862,0.1541689,3.09273862,2,1.120302,2
Asia,Kyrgyzstan,68699656,1114075,353887159,0.1114075,3.53887159,2,1.62166,2
South America,Paraguay,164814277,5007471,365765372,0.5007471,3.65765372,2,3.038251,2
Europe,Estonia,67716137,556655,418774201,0.0556655,4.18774201,1,0.822042,2
Asia,Iraq,695548875,9557581,431298659,0.9557581,4.31298659,2,1.374106,2
Europe,Austria,370826379,4886919,487591278,0.4886919,4.87591278,2,1.317846,2
Europe,Latvia,75340097,1191400,528972947,0.11914,5.28972947,2,1.581362,2
Africa,Nigeria,89109064,1208507,589884626,0.1208507,5.89884626,2,1.356211,2
Europe,Sweden,495009548,7403070,634640120,0.740307,6.3464012,2,1.495541,2
Europe,Slovenia,139365395,2020428,635797342,0.2020428,6.35797342,2,1.449734,2
Asia,Myanmar,139378408,4566842,643590867,0.4566842,6.43590867,2,3.276578,2
Europe,Hungary,372788017,12315193,711551392,1.2315193,7.11551392,2,3.303538,2
Europe,Finland,68846795,573806,720564185,0.0573806,7.20564185,1,0.833453,2
Asia,Bahrain,112761413,494669,768584770,0.0494669,7.6858477,1,0.438686,2
Europe,Bulgaria,219626988,8689835,788148004,0.8689835,7.88148004,2,3.956634,2
North America,El Salvador,43187400,1310482,790445287,0.1310482,7.90445287,2,3.034408,2
Asia,Lebanon,252263810,3160777,812153736,0.3160777,8.12153736,2,1.252965,2
Europe,Lithuania,148694591,2112972,958085528,0.2112972,9.58085528,2,1.421015,2
Europe,Croatia,195062915,3748742,966206091,0.3748742,9.66206091,2,1.921812,2
Europe,Netherlands,924029478,9280868,980730500,0.9280868,9.807305,2,1.004391,2
Asia,Mongolia,122662135,383509,981726644,0.0383509,9.81726644,1,0.312655,2
Europe,Serbia,384370667,3579787,1016897150,0.3579787,10.1689715,1,0.931337,2
Asia,Jordan,338922275,4118238,1155235551,0.4118238,11.55235551,2,1.215098,3
Asia,Qatar,120426661,255071,1165033645,0.0255071,11.65033645,1,0.211806,3
North America,Panama,205593905,3243208,1168836207,0.3243208,11.68836207,2,1.577483,3
Africa,Kenya,94380208,1778439,1258906278,0.1778439,12.58906278,2,1.884335,3
Africa,Ethiopia,136434310,2174822,1261119134,0.2174822,12.61119134,2,1.594043,3
Oceania,New Zealand,3092610,19305,1262237118,0.0019305,12.62237118,1,0.62423,3
Africa,Zimbabwe,43693567,1351590,1311140540,0.135159,13.1114054,2,3.093339,3
Asia,Nepal,277911740,3478322,1339274517,0.3478322,13.39274517,2,1.251592,3
Africa,Egypt,140053370,7886074,1486676141,0.7886074,14.86676141,3,5.630763,3
South America,Uruguay,133502055,1832342,1713110563,0.1832342,17.13110563,2,1.37252,3
North America,Guatemala,185211330,5173394,1803693348,0.5173394,18.03693348,2,2.793238,3
Africa,Tunisia,225719604,7628159,1846105327,0.7628159,18.46105327,2,3.379484,3
South America,Bolivia,210512990,8023860,1935807980,0.802386,19.3580798,2,3.811575,3
Asia,Azerbaijan,186715591,2524527,2057436541,0.2524527,20.57436541,2,1.352071,3
Europe,Ireland,190997520,2551888,2122601349,0.2551888,21.22601349,2,1.336084,3
Europe,Norway,99071869,439587,2177942971,0.0439587,21.77942971,1,0.443705,3
Asia,Hong Kong,6113669,103251,2201203240,0.0103251,22.0120324,2,1.688855,3
Asia,Singapore,70242387,113189,2542925924,0.0113189,25.42925924,1,0.161141,3
Europe,Denmark,214516130,1296323,2582834963,0.1296323,25.82834963,1,0.604301,3
Asia,Uzbekistan,67823949,492236,2666848983,0.0492236,26.66848983,1,0.725755,3
North America,Dominican Republic,163207324,1944168,3159794950,0.1944168,31.5979495,2,1.191226,3
Europe,Switzerland,409896750,5261735,3164849764,0.5261735,31.64849764,2,1.283673,3
Africa,South Africa,1112008594,32484892,3187588678,3.2484892,31.87588678,2,2.921281,3
Asia,Kazakhstan,315936774,4939962,3439025785,0.4939962,34.39025785,2,1.563592,3
Europe,Portugal,495693767,7756726,3452036815,0.7756726,34.52036815,2,1.564822,3
Europe,Czechia,788945368,12738650,3575297830,1.273865,35.7529783,2,1.614643,3
Europe,Romania,580115738,16773155,3654163148,1.6773155,36.54163148,2,2.891346,3
Europe,Greece,286712427,5857559,3730351982,0.5857559,37.30351982,2,2.043008,3
Asia,Taiwan,4716503,214848,4284892056,0.0214848,42.84892056,2,4.555239,3
Europe,Ukraine,1136347284,26425316,4357666978,2.6425316,43.57666978,2,2.325461,3
Africa,Morocco,335617457,5347437,4636675338,0.5347437,46.36675338,2,1.593313,3
Europe,Belgium,623571982,13447611,4956283761,1.3447611,49.56283761,2,2.156545,3
South America,Ecuador,219875808,12883777,5115294604,1.2883777,51.15294604,3,5.85957,3
Asia,Israel,532595202,3235760,5128987435,0.323576,51.28987435,1,0.607546,3
Asia,United Arab Emirates,280119777,843638,5202798869,0.0843638,52.02798869,1,0.30117,3
North America,Cuba,207098913,1710868,5280845812,0.1710868,52.80845812,1,0.826112,3
Asia,Sri Lanka,141527367,2952374,5718203460,0.2952374,57.1820346,2,2.08608,3
Asia,Cambodia,27466222,586887,5853716580,0.0586887,58.5371658,2,2.136759,3
Asia,Iran,1805512406,46505237,7244825107,4.6505237,72.44825107,2,2.575736,3
Oceania,Australia,150963188,753309,7861897759,0.0753309,78.61897759,1,0.499002,4
South America,Peru,986864209,89091239,8261089545,8.9091239,82.61089545,3,9.02771,4
Asia,Bangladesh,550992392,8995800,8277161032,0.89958,82.77161032,2,1.632654,4
Asia,Philippines,815110381,13760380,8309058697,1.376038,83.09058697,2,1.688162,4
South America,Colombia,1850926242,47234029,9596369550,4.7234029,95.9636955,2,2.551913,4
Europe,Poland,1306204048,31456441,9630780517,3.1456441,96.30780517,2,2.408233,4
South America,Chile,707318736,15672095,10385691392,1.5672095,103.8569139,2,2.215705,4
Asia,Saudi Arabia,273129558,4165042,10608775174,0.4165042,106.0877517,2,1.524933,4
Asia,Malaysia,599281538,6064545,10983325867,0.6064545,109.8332587,2,1.011969,4
Europe,Spain,2164415765,42399410,12934247871,4.239941,129.3424787,2,1.958931,4
South America,Argentina,2008139750,42008641,13460090683,4.2008641,134.6009068,2,2.091918,4
Asia,Vietnam,256463712,4934276,13758862257,0.4934276,137.5886226,2,1.923967,4
Asia,Pakistan,490355939,10724636,13942081481,1.0724636,139.4208148,2,2.187112,4
Asia,Thailand,412404109,3899622,15733406935,0.3899622,157.3340694,1,0.945583,4
North America,Canada,694214682,13471239,16189361969,1.3471239,161.8936197,2,1.9405,4
Asia,South Korea,142188333,1293910,17746960926,0.129391,177.4696093,1,0.909997,4
North America,Mexico,1434281752,116795735,23674108576,11.6795735,236.7410858,3,8.143151,4
Europe,Russia,3162063549,78512362,24332788004,7.8512362,243.32788,2,2.482947,4
Europe,Italy,2185352064,62028601,25125456529,6.2028601,251.2545653,2,2.83838,4
Asia,Japan,535183642,6217995,25267630732,0.6217995,252.6763073,2,1.161843,4
Europe,France,3280438871,54648979,27364293907,5.4648979,273.6429391,2,1.665905,4
Asia,Turkey,2744349469,24937463,28952247781,2.4937463,289.5224778,1,0.908684,4
Asia,Indonesia,1291507778,40581034,30236880806,4.0581034,302.3688081,2,3.142144,4
Europe,United Kingdom,3301124622,66633387,32220292487,6.6633387,322.2029249,2,2.018506,4
Europe,Germany,2040620316,40263034,32993626643,4.0263034,329.9362664,2,1.973078,4
South America,Brazil,8453174166,230639323,65802154617,23.0639323,658.0215462,2,2.728435,4
North America,United States,18811397264,319062717,1.36E+11,31.9062717,1363.433235,2,1.696114,4
Asia,India,12445466512,165325079,2.62E+11,16.5325079,2622.397806,2,1.328396,4
Asia,China,67154220,3341606,6.01E+11,0.3341606,6009.870807,2,4.976018,4
